GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,NAME,BTTRA,BTBGA,ALZLE001,ALZLE002,ALZLE003
"G1701830","2015-2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",,,31151,21666,9485
"G1701850","2015-2019","IL",,,"Illinois","17","Wabash County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17185","Wabash County, Illinois",,,4839,3774,1065
"G1701870","2015-2019","IL",,,"Illinois","17","Warren County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17187","Warren County, Illinois",,,6862,5099,1763
"G1701890","2015-2019","IL",,,"Illinois","17","Washington County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17189","Washington County, Illinois",,,6020,4665,1355
"G1701910","2015-2019","IL",,,"Illinois","17","Wayne County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17191","Wayne County, Illinois",,,7051,5401,1650
"G1701930","2015-2019","IL",,,"Illinois","17","White County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17193","White County, Illinois",,,6041,4868,1173
"G1701950","2015-2019","IL",,,"Illinois","17","Whiteside County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17195","Whiteside County, Illinois",,,23084,17279,5805
"G1701970","2015-2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",,,229498,186528,42970
"G1701990","2015-2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",,,27029,18949,8080
"G1702010","2015-2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",,,114779,75592,39187
"G1702030","2015-2019","IL",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17203","Woodford County, Illinois",,,14499,11857,2642
"G1800010","2015-2019","IN",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18001","Adams County, Indiana",,,12481,9623,2858
"G1800030","2015-2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",,,145065,99264,45801
"G1800050","2015-2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",,,31452,22470,8982
"G1800070","2015-2019","IN",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18007","Benton County, Indiana",,,3432,2541,891
"G1800090","2015-2019","IN",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18009","Blackford County, Indiana",,,5235,3911,1324
"G1800110","2015-2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",,,25485,19658,5827
"G1800130","2015-2019","IN",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18013","Brown County, Indiana",,,6189,5224,965
"G1800150","2015-2019","IN",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18015","Carroll County, Indiana",,,8002,6457,1545
"G1800170","2015-2019","IN",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18017","Cass County, Indiana",,,14688,10863,3825
"G1800190","2015-2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",,,44200,31442,12758
"G1800210","2015-2019","IN",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18021","Clay County, Indiana",,,10543,8177,2366
"G1800230","2015-2019","IN",,,"Indiana","18","Clinton County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18023","Clinton County, Indiana",,,12033,8492,3541
"G1800250","2015-2019","IN",,,"Indiana","18","Crawford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18025","Crawford County, Indiana",,,3835,3168,667
"G1800270","2015-2019","IN",,,"Indiana","18","Daviess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18027","Daviess County, Indiana",,,11227,8250,2977
"G1800290","2015-2019","IN",,,"Indiana","18","Dearborn County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18029","Dearborn County, Indiana",,,18870,15027,3843
"G1800310","2015-2019","IN",,,"Indiana","18","Decatur County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18031","Decatur County, Indiana",,,10353,7230,3123
"G1800330","2015-2019","IN",,,"Indiana","18","DeKalb County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18033","DeKalb County, Indiana",,,16801,12781,4020
"G1800350","2015-2019","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",,,46026,29215,16811
"G1800370","2015-2019","IN",,,"Indiana","18","Dubois County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18037","Dubois County, Indiana",,,16893,13160,3733
"G1800390","2015-2019","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",,,71718,50067,21651
"G1800410","2015-2019","IN",,,"Indiana","18","Fayette County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18041","Fayette County, Indiana",,,9584,6662,2922
"G1800430","2015-2019","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",,,29189,21295,7894
"G1800450","2015-2019","IN",,,"Indiana","18","Fountain County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18045","Fountain County, Indiana",,,6974,5312,1662
"G1800470","2015-2019","IN",,,"Indiana","18","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18047","Franklin County, Indiana",,,8687,7293,1394
"G1800490","2015-2019","IN",,,"Indiana","18","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18049","Fulton County, Indiana",,,7799,5822,1977
"G1800510","2015-2019","IN",,,"Indiana","18","Gibson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18051","Gibson County, Indiana",,,13340,10068,3272
"G1800530","2015-2019","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",,,26372,18046,8326
"G1800550","2015-2019","IN",,,"Indiana","18","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18055","Greene County, Indiana",,,12781,10175,2606
"G1800570","2015-2019","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",,,119789,92174,27615
"G1800590","2015-2019","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,28740,22774,5966
"G1800610","2015-2019","IN",,,"Indiana","18","Harrison County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18061","Harrison County, Indiana",,,14403,11953,2450
"G1800630","2015-2019","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",,,59015,46306,12709
"G1800650","2015-2019","IN",,,"Indiana","18","Henry County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18065","Henry County, Indiana",,,18304,13451,4853
"G1800670","2015-2019","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",,,34701,24376,10325
"G1800690","2015-2019","IN",,,"Indiana","18","Huntington County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18069","Huntington County, Indiana",,,14742,11125,3617
"G1800710","2015-2019","IN",,,"Indiana","18","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18071","Jackson County, Indiana",,,16753,12072,4681
"G1800730","2015-2019","IN",,,"Indiana","18","Jasper County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18073","Jasper County, Indiana",,,12533,9601,2932
"G1800750","2015-2019","IN",,,"Indiana","18","Jay County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18075","Jay County, Indiana",,,8174,5968,2206
"G1800770","2015-2019","IN",,,"Indiana","18","Jefferson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18077","Jefferson County, Indiana",,,12632,9078,3554
"G1800790","2015-2019","IN",,,"Indiana","18","Jennings County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18079","Jennings County, Indiana",,,10792,8390,2402
"G1800810","2015-2019","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",,,56628,41141,15487
"G1800830","2015-2019","IN",,,"Indiana","18","Knox County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18083","Knox County, Indiana",,,15038,9708,5330
"G1800850","2015-2019","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",,,30997,23179,7818
"G1800870","2015-2019","IN",,,"Indiana","18","LaGrange County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18087","LaGrange County, Indiana",,,12325,10124,2201
"G1800890","2015-2019","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",,,186731,130138,56593
"G1800910","2015-2019","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",,,43039,31135,11904
"G1800930","2015-2019","IN",,,"Indiana","18","Lawrence County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18093","Lawrence County, Indiana",,,18781,14457,4324
"G1800950","2015-2019","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",,,51003,35519,15484
"G1800970","2015-2019","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",,,372358,200544,171814
"G1800990","2015-2019","IN",,,"Indiana","18","Marshall County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18099","Marshall County, Indiana",,,17304,12929,4375
"G1801010","2015-2019","IN",,,"Indiana","18","Martin County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18101","Martin County, Indiana",,,4187,3274,913
"G1801030","2015-2019","IN",,,"Indiana","18","Miami County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18103","Miami County, Indiana",,,13611,9730,3881
"G1801050","2015-2019","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",,,55624,31106,24518
"G1801070","2015-2019","IN",,,"Indiana","18","Montgomery County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18107","Montgomery County, Indiana",,,15382,11005,4377
"G1801090","2015-2019","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,26034,20084,5950
"G1801110","2015-2019","IN",,,"Indiana","18","Newton County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18111","Newton County, Indiana",,,5573,4342,1231
"G1801130","2015-2019","IN",,,"Indiana","18","Noble County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18113","Noble County, Indiana",,,18276,14002,4274
"G1801150","2015-2019","IN",,,"Indiana","18","Ohio County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18115","Ohio County, Indiana",,,2555,1948,607
"G1801170","2015-2019","IN",,,"Indiana","18","Orange County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18117","Orange County, Indiana",,,7898,5874,2024
"G1801190","2015-2019","IN",,,"Indiana","18","Owen County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18119","Owen County, Indiana",,,8776,6950,1826
"G1801210","2015-2019","IN",,,"Indiana","18","Parke County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18121","Parke County, Indiana",,,6057,4770,1287
"G1801230","2015-2019","IN",,,"Indiana","18","Perry County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18123","Perry County, Indiana",,,7615,5920,1695
"G1801250","2015-2019","IN",,,"Indiana","18","Pike County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18125","Pike County, Indiana",,,5129,4224,905
"G1801270","2015-2019","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",,,64517,48434,16083
"G1801290","2015-2019","IN",,,"Indiana","18","Posey County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18129","Posey County, Indiana",,,10155,8299,1856
"G1801310","2015-2019","IN",,,"Indiana","18","Pulaski County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18131","Pulaski County, Indiana",,,5151,3911,1240
"G1801330","2015-2019","IN",,,"Indiana","18","Putnam County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18133","Putnam County, Indiana",,,13543,9697,3846
"G1801350","2015-2019","IN",,,"Indiana","18","Randolph County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18135","Randolph County, Indiana",,,10229,7803,2426
"G1801370","2015-2019","IN",,,"Indiana","18","Ripley County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18137","Ripley County, Indiana",,,10992,8342,2650
"G1801390","2015-2019","IN",,,"Indiana","18","Rush County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18139","Rush County, Indiana",,,6667,4758,1909
"G1801410","2015-2019","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",,,101872,69452,32420
"G1801430","2015-2019","IN",,,"Indiana","18","Scott County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18143","Scott County, Indiana",,,8971,6456,2515
"G1801450","2015-2019","IN",,,"Indiana","18","Shelby County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18145","Shelby County, Indiana",,,17823,13064,4759
"G1801470","2015-2019","IN",,,"Indiana","18","Spencer County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18147","Spencer County, Indiana",,,8127,6652,1475
"G1801490","2015-2019","IN",,,"Indiana","18","Starke County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18149","Starke County, Indiana",,,8549,6852,1697
"G1801510","2015-2019","IN",,,"Indiana","18","Steuben County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18151","Steuben County, Indiana",,,14261,11091,3170
"G1801530","2015-2019","IN",,,"Indiana","18","Sullivan County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18153","Sullivan County, Indiana",,,7644,5685,1959
"G1801550","2015-2019","IN",,,"Indiana","18","Switzerland County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18155","Switzerland County, Indiana",,,4349,3255,1094
"G1801570","2015-2019","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",,,70526,38848,31678
"G1801590","2015-2019","IN",,,"Indiana","18","Tipton County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18159","Tipton County, Indiana",,,6376,5210,1166
"G1801610","2015-2019","IN",,,"Indiana","18","Union County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18161","Union County, Indiana",,,2823,2032,791
"G1801630","2015-2019","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",,,75607,48981,26626
"G1801650","2015-2019","IN",,,"Indiana","18","Vermillion County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18165","Vermillion County, Indiana",,,6664,4874,1790
"G1801670","2015-2019","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",,,41994,25956,16038
"G1801690","2015-2019","IN",,,"Indiana","18","Wabash County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18169","Wabash County, Indiana",,,12862,9516,3346
"G1801710","2015-2019","IN",,,"Indiana","18","Warren County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18171","Warren County, Indiana",,,3357,2815,542
"G1801730","2015-2019","IN",,,"Indiana","18","Warrick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18173","Warrick County, Indiana",,,24514,19245,5269
"G1801750","2015-2019","IN",,,"Indiana","18","Washington County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18175","Washington County, Indiana",,,10940,8513,2427
"G1801770","2015-2019","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,26644,17837,8807
"G1801790","2015-2019","IN",,,"Indiana","18","Wells County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18179","Wells County, Indiana",,,10888,8586,2302
"G1801810","2015-2019","IN",,,"Indiana","18","White County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18181","White County, Indiana",,,9879,7661,2218
"G1801830","2015-2019","IN",,,"Indiana","18","Whitley County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18183","Whitley County, Indiana",,,13742,11293,2449
"G1900010","2015-2019","IA",,,"Iowa","19","Adair County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19001","Adair County, Iowa",,,3200,2378,822
"G1900030","2015-2019","IA",,,"Iowa","19","Adams County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19003","Adams County, Iowa",,,1598,1306,292
"G1900050","2015-2019","IA",,,"Iowa","19","Allamakee County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19005","Allamakee County, Iowa",,,5953,4723,1230
"G1900070","2015-2019","IA",,,"Iowa","19","Appanoose County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19007","Appanoose County, Iowa",,,5353,3801,1552
"G1900090","2015-2019","IA",,,"Iowa","19","Audubon County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19009","Audubon County, Iowa",,,2649,2034,615
"G1900110","2015-2019","IA",,,"Iowa","19","Benton County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19011","Benton County, Iowa",,,10306,8538,1768
"G1900130","2015-2019","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",,,52905,34645,18260
"G1900150","2015-2019","IA",,,"Iowa","19","Boone County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19015","Boone County, Iowa",,,10954,8558,2396
"G1900170","2015-2019","IA",,,"Iowa","19","Bremer County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19017","Bremer County, Iowa",,,9676,8000,1676
"G1900190","2015-2019","IA",,,"Iowa","19","Buchanan County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19019","Buchanan County, Iowa",,,8029,6368,1661
"G1900210","2015-2019","IA",,,"Iowa","19","Buena Vista County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19021","Buena Vista County, Iowa",,,7524,4861,2663
"G1900230","2015-2019","IA",,,"Iowa","19","Butler County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19023","Butler County, Iowa",,,6254,4872,1382
"G1900250","2015-2019","IA",,,"Iowa","19","Calhoun County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19025","Calhoun County, Iowa",,,4146,3268,878
"G1900270","2015-2019","IA",,,"Iowa","19","Carroll County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19027","Carroll County, Iowa",,,8726,6617,2109
"G1900290","2015-2019","IA",,,"Iowa","19","Cass County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19029","Cass County, Iowa",,,5921,4099,1822
"G1900310","2015-2019","IA",,,"Iowa","19","Cedar County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19031","Cedar County, Iowa",,,7391,6003,1388
"G1900330","2015-2019","IA",,,"Iowa","19","Cerro Gordo County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19033","Cerro Gordo County, Iowa",,,19241,13297,5944
"G1900350","2015-2019","IA",,,"Iowa","19","Cherokee County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19035","Cherokee County, Iowa",,,5319,3969,1350
"G1900370","2015-2019","IA",,,"Iowa","19","Chickasaw County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19037","Chickasaw County, Iowa",,,5173,4173,1000
"G1900390","2015-2019","IA",,,"Iowa","19","Clarke County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19039","Clarke County, Iowa",,,3895,2743,1152
"G1900410","2015-2019","IA",,,"Iowa","19","Clay County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19041","Clay County, Iowa",,,7212,4884,2328
"G1900430","2015-2019","IA",,,"Iowa","19","Clayton County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19043","Clayton County, Iowa",,,7510,5597,1913
"G1900450","2015-2019","IA",,,"Iowa","19","Clinton County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19045","Clinton County, Iowa",,,19635,14385,5250
"G1900470","2015-2019","IA",,,"Iowa","19","Crawford County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19047","Crawford County, Iowa",,,6437,4451,1986
"G1900490","2015-2019","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,34399,25363,9036
"G1900510","2015-2019","IA",,,"Iowa","19","Davis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19051","Davis County, Iowa",,,3176,2706,470
"G1900530","2015-2019","IA",,,"Iowa","19","Decatur County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19053","Decatur County, Iowa",,,3200,2145,1055
"G1900550","2015-2019","IA",,,"Iowa","19","Delaware County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19055","Delaware County, Iowa",,,6907,5827,1080
"G1900570","2015-2019","IA",,,"Iowa","19","Des Moines County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19057","Des Moines County, Iowa",,,16891,11877,5014
"G1900590","2015-2019","IA",,,"Iowa","19","Dickinson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19059","Dickinson County, Iowa",,,8174,6489,1685
"G1900610","2015-2019","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",,,38210,28023,10187
"G1900630","2015-2019","IA",,,"Iowa","19","Emmet County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19063","Emmet County, Iowa",,,4036,3152,884
"G1900650","2015-2019","IA",,,"Iowa","19","Fayette County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19065","Fayette County, Iowa",,,8200,6279,1921
"G1900670","2015-2019","IA",,,"Iowa","19","Floyd County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19067","Floyd County, Iowa",,,6903,4916,1987
"G1900690","2015-2019","IA",,,"Iowa","19","Franklin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19069","Franklin County, Iowa",,,4192,3130,1062
"G1900710","2015-2019","IA",,,"Iowa","19","Fremont County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19071","Fremont County, Iowa",,,2945,2248,697
"G1900730","2015-2019","IA",,,"Iowa","19","Greene County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19073","Greene County, Iowa",,,3971,2915,1056
"G1900750","2015-2019","IA",,,"Iowa","19","Grundy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19075","Grundy County, Iowa",,,5155,4204,951
"G1900770","2015-2019","IA",,,"Iowa","19","Guthrie County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19077","Guthrie County, Iowa",,,4452,3546,906
"G1900790","2015-2019","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079","Hamilton County, Iowa",,,6259,4530,1729
"G1900810","2015-2019","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081","Hancock County, Iowa",,,4790,3692,1098
"G1900830","2015-2019","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083","Hardin County, Iowa",,,7148,5353,1795
"G1900850","2015-2019","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085","Harrison County, Iowa",,,6019,4558,1461
"G1900870","2015-2019","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087","Henry County, Iowa",,,7743,5511,2232
"G1900890","2015-2019","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089","Howard County, Iowa",,,3810,3035,775
"G1900910","2015-2019","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091","Humboldt County, Iowa",,,4174,3099,1075
