GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,NAME,TRBL_CTA,TRBL_BGA,AMUFE001,AMUFE002,AMUFE003
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County, Alabama",,,21559,16088,5471
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",,,84047,64716,19331
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County, Alabama",,,9322,5775,3547
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County, Alabama",,,7259,5428,1831
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County, Alabama",,,21205,16132,5073
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County, Alabama",,,3429,2531,898
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County, Alabama",,,6649,4872,1777
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",,,44572,31370,13202
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County, Alabama",,,13582,9133,4449
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County, Alabama",,,10836,8477,2359
"G0100210","2016-2020","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County, Alabama",,,17140,12878,4262
"G0100230","2016-2020","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County, Alabama",,,5330,4350,980
"G0100250","2016-2020","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025","Clarke County, Alabama",,,9323,6761,2562
"G0100270","2016-2020","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027","Clay County, Alabama",,,5153,3947,1206
"G0100290","2016-2020","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029","Cleburne County, Alabama",,,5835,4515,1320
"G0100310","2016-2020","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031","Coffee County, Alabama",,,19951,13527,6424
"G0100330","2016-2020","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033","Colbert County, Alabama",,,21797,15609,6188
"G0100350","2016-2020","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035","Conecuh County, Alabama",,,4585,3426,1159
"G0100370","2016-2020","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037","Coosa County, Alabama",,,4016,3256,760
"G0100390","2016-2020","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039","Covington County, Alabama",,,14995,11137,3858
"G0100410","2016-2020","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041","Crenshaw County, Alabama",,,5011,3842,1169
"G0100430","2016-2020","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,31733,23734,7999
"G0100450","2016-2020","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045","Dale County, Alabama",,,19405,11380,8025
"G0100470","2016-2020","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047","Dallas County, Alabama",,,15409,8731,6678
"G0100490","2016-2020","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,26365,19275,7090
"G0100510","2016-2020","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,29794,22400,7394
"G0100530","2016-2020","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053","Escambia County, Alabama",,,12931,8593,4338
"G0100550","2016-2020","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",,,38765,28285,10480
"G0100570","2016-2020","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057","Fayette County, Alabama",,,6805,5119,1686
"G0100590","2016-2020","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059","Franklin County, Alabama",,,11017,7828,3189
"G0100610","2016-2020","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061","Geneva County, Alabama",,,10572,7955,2617
"G0100630","2016-2020","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063","Greene County, Alabama",,,3178,2179,999
"G0100650","2016-2020","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065","Hale County, Alabama",,,5490,4154,1336
"G0100670","2016-2020","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067","Henry County, Alabama",,,6556,5471,1085
"G0100690","2016-2020","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",,,39784,26229,13555
"G0100710","2016-2020","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071","Jackson County, Alabama",,,20367,15731,4636
"G0100730","2016-2020","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",,,263801,166849,96952
"G0100750","2016-2020","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075","Lamar County, Alabama",,,5631,4100,1531
"G0100770","2016-2020","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,38513,26209,12304
"G0100790","2016-2020","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079","Lawrence County, Alabama",,,12551,9842,2709
"G0100810","2016-2020","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",,,60731,38483,22248
"G0100830","2016-2020","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,32725,25128,7597
"G0100850","2016-2020","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085","Lowndes County, Alabama",,,4213,3163,1050
"G0100870","2016-2020","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087","Macon County, Alabama",,,7592,4917,2675
"G0100890","2016-2020","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",,,151628,102658,48970
"G0100910","2016-2020","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091","Marengo County, Alabama",,,7499,5232,2267
"G0100930","2016-2020","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093","Marion County, Alabama",,,11780,8936,2844
"G0100950","2016-2020","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",,,35115,25598,9517
"G0100970","2016-2020","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",,,157557,100955,56602
"G0100990","2016-2020","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099","Monroe County, Alabama",,,8050,5463,2587
"G0101010","2016-2020","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",,,89511,51588,37923
"G0101030","2016-2020","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",,,46388,33496,12892
"G0101050","2016-2020","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105","Perry County, Alabama",,,3140,2458,682
"G0101070","2016-2020","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107","Pickens County, Alabama",,,7731,5870,1861
"G0101090","2016-2020","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109","Pike County, Alabama",,,11700,7431,4269
"G0101110","2016-2020","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111","Randolph County, Alabama",,,8655,6856,1799
"G0101130","2016-2020","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113","Russell County, Alabama",,,23694,14324,9370
"G0101150","2016-2020","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,32765,26355,6410
"G0101170","2016-2020","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",,,80756,64906,15850
"G0101190","2016-2020","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119","Sumter County, Alabama",,,5355,3367,1988
"G0101210","2016-2020","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,31741,22692,9049
"G0101230","2016-2020","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123","Tallapoosa County, Alabama",,,16359,12248,4111
"G0101250","2016-2020","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",,,74713,47018,27695
"G0101270","2016-2020","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,25440,19824,5616
"G0101290","2016-2020","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129","Washington County, Alabama",,,5830,5215,615
"G0101310","2016-2020","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131","Wilcox County, Alabama",,,3961,2770,1191
"G0101330","2016-2020","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133","Winston County, Alabama",,,9612,7720,1892
"G0200130","2016-2020","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013","Aleutians East Borough, Alaska",,,988,607,381
"G0200160","2016-2020","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016","Aleutians West Census Area, Alaska",,,1306,362,944
"G0200200","2016-2020","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",,,106970,66562,40408
"G0200500","2016-2020","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050","Bethel Census Area, Alaska",,,4499,2510,1989
"G0200600","2016-2020","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060","Bristol Bay Borough, Alaska",,,284,146,138
"G0200630","2016-2020","AK",,,"Alaska","02","Chugach Census Area","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02063","Chugach Census Area, Alaska",,,2310,1690,620
"G0200660","2016-2020","AK",,,"Alaska","02","Copper River Census Area","066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02066","Copper River Census Area, Alaska",,,1063,807,256
"G0200680","2016-2020","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068","Denali Borough, Alaska",,,726,602,124
"G0200700","2016-2020","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070","Dillingham Census Area, Alaska",,,1430,864,566
"G0200900","2016-2020","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,36199,21315,14884
"G0201000","2016-2020","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100","Haines Borough, Alaska",,,917,555,362
"G0201050","2016-2020","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105","Hoonah-Angoon Census Area, Alaska",,,755,553,202
"G0201100","2016-2020","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110","Juneau City and Borough, Alaska",,,12878,8319,4559
"G0201220","2016-2020","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122","Kenai Peninsula Borough, Alaska",,,21781,16409,5372
"G0201300","2016-2020","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130","Ketchikan Gateway Borough, Alaska",,,5299,3385,1914
"G0201500","2016-2020","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150","Kodiak Island Borough, Alaska",,,4231,2102,2129
"G0201580","2016-2020","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158","Kusilvak Census Area, Alaska",,,1750,1255,495
"G0201640","2016-2020","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164","Lake and Peninsula Borough, Alaska",,,366,236,130
"G0201700","2016-2020","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",,,31964,24545,7419
"G0201800","2016-2020","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180","Nome Census Area, Alaska",,,2777,1716,1061
"G0201850","2016-2020","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185","North Slope Borough, Alaska",,,1991,932,1059
"G0201880","2016-2020","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188","Northwest Arctic Borough, Alaska",,,1795,1021,774
"G0201950","2016-2020","AK",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195","Petersburg Borough, Alaska",,,1204,850,354
"G0201980","2016-2020","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198","Prince of Wales-Hyder Census Area, Alaska",,,2353,1731,622
"G0202200","2016-2020","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220","Sitka City and Borough, Alaska",,,3572,2171,1401
"G0202300","2016-2020","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230","Skagway Municipality, Alaska",,,411,263,148
"G0202400","2016-2020","AK",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02240","Southeast Fairbanks Census Area, Alaska",,,2287,1669,618
"G0202750","2016-2020","AK",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02275","Wrangell City and Borough, Alaska",,,989,705,284
"G0202820","2016-2020","AK",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02282","Yakutat City and Borough, Alaska",,,221,114,107
"G0202900","2016-2020","AK",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02290","Yukon-Koyukuk Census Area, Alaska",,,1857,1380,477
"G0400010","2016-2020","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,21505,17134,4371
"G0400030","2016-2020","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",,,50917,35181,15736
"G0400050","2016-2020","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",,,49016,29789,19227
"G0400070","2016-2020","AZ",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04007","Gila County, Arizona",,,22523,16934,5589
"G0400090","2016-2020","AZ",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04009","Graham County, Arizona",,,11348,8113,3235
"G0400110","2016-2020","AZ",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04011","Greenlee County, Arizona",,,3295,1682,1613
"G0400120","2016-2020","AZ",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04012","La Paz County, Arizona",,,9928,7129,2799
"G0400130","2016-2020","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",,,1596784,1008487,588297
"G0400150","2016-2020","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",,,90413,63681,26732
"G0400170","2016-2020","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",,,36406,25372,11034
"G0400190","2016-2020","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",,,410942,263142,147800
"G0400210","2016-2020","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",,,148435,114923,33512
"G0400230","2016-2020","AZ",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04023","Santa Cruz County, Arizona",,,16049,10883,5166
"G0400250","2016-2020","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",,,101245,73506,27739
"G0400270","2016-2020","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",,,74624,51220,23404
"G0500010","2016-2020","AR",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05001","Arkansas County, Arkansas",,,7416,4885,2531
"G0500030","2016-2020","AR",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05003","Ashley County, Arkansas",,,7716,5958,1758
"G0500050","2016-2020","AR",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05005","Baxter County, Arkansas",,,18727,14346,4381
"G0500070","2016-2020","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",,,99661,65702,33959
"G0500090","2016-2020","AR",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05009","Boone County, Arkansas",,,15043,10835,4208
"G0500110","2016-2020","AR",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05011","Bradley County, Arkansas",,,4233,2671,1562
"G0500130","2016-2020","AR",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05013","Calhoun County, Arkansas",,,1754,1465,289
"G0500150","2016-2020","AR",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05015","Carroll County, Arkansas",,,11079,8320,2759
"G0500170","2016-2020","AR",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05017","Chicot County, Arkansas",,,4052,2702,1350
"G0500190","2016-2020","AR",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05019","Clark County, Arkansas",,,8336,4920,3416
"G0500210","2016-2020","AR",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05021","Clay County, Arkansas",,,6476,4363,2113
"G0500230","2016-2020","AR",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05023","Cleburne County, Arkansas",,,10882,8504,2378
"G0500250","2016-2020","AR",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05025","Cleveland County, Arkansas",,,3170,2470,700
"G0500270","2016-2020","AR",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05027","Columbia County, Arkansas",,,8456,5820,2636
"G0500290","2016-2020","AR",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05029","Conway County, Arkansas",,,8491,5966,2525
"G0500310","2016-2020","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",,,42203,24055,18148
"G0500330","2016-2020","AR",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05033","Crawford County, Arkansas",,,24065,18205,5860
"G0500350","2016-2020","AR",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05035","Crittenden County, Arkansas",,,19021,10806,8215
"G0500370","2016-2020","AR",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05037","Cross County, Arkansas",,,6568,4363,2205
"G0500390","2016-2020","AR",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05039","Dallas County, Arkansas",,,2992,2112,880
"G0500410","2016-2020","AR",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05041","Desha County, Arkansas",,,5059,3137,1922
"G0500430","2016-2020","AR",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05043","Drew County, Arkansas",,,7207,4840,2367
"G0500450","2016-2020","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",,,45091,28115,16976
"G0500470","2016-2020","AR",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05047","Franklin County, Arkansas",,,6671,4842,1829
"G0500490","2016-2020","AR",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05049","Fulton County, Arkansas",,,5014,4139,875
"G0500510","2016-2020","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",,,40906,27468,13438
"G0500530","2016-2020","AR",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05053","Grant County, Arkansas",,,7049,5377,1672
"G0500550","2016-2020","AR",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05055","Greene County, Arkansas",,,17587,11771,5816
"G0500570","2016-2020","AR",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05057","Hempstead County, Arkansas",,,8100,5548,2552
"G0500590","2016-2020","AR",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05059","Hot Spring County, Arkansas",,,12515,9946,2569
"G0500610","2016-2020","AR",,,"Arkansas","05","Howard County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05061","Howard County, Arkansas",,,5271,3553,1718
