GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,NAME,TRBL_CTA,TRBL_BGA,AMUFM001,AMUFM002,AMUFM003
"G1801310","2016-2020","IN",,,"Indiana","18","Pulaski County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18131","Pulaski County, Indiana",,,171,197,187
"G1801330","2016-2020","IN",,,"Indiana","18","Putnam County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18133","Putnam County, Indiana",,,248,419,414
"G1801350","2016-2020","IN",,,"Indiana","18","Randolph County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18135","Randolph County, Indiana",,,226,278,264
"G1801370","2016-2020","IN",,,"Indiana","18","Ripley County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18137","Ripley County, Indiana",,,249,308,276
"G1801390","2016-2020","IN",,,"Indiana","18","Rush County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18139","Rush County, Indiana",,,192,228,227
"G1801410","2016-2020","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",,,860,982,1242
"G1801430","2016-2020","IN",,,"Indiana","18","Scott County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18143","Scott County, Indiana",,,274,429,415
"G1801450","2016-2020","IN",,,"Indiana","18","Shelby County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18145","Shelby County, Indiana",,,293,412,413
"G1801470","2016-2020","IN",,,"Indiana","18","Spencer County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18147","Spencer County, Indiana",,,180,256,244
"G1801490","2016-2020","IN",,,"Indiana","18","Starke County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18149","Starke County, Indiana",,,330,322,267
"G1801510","2016-2020","IN",,,"Indiana","18","Steuben County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18151","Steuben County, Indiana",,,371,375,320
"G1801530","2016-2020","IN",,,"Indiana","18","Sullivan County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18153","Sullivan County, Indiana",,,252,270,233
"G1801550","2016-2020","IN",,,"Indiana","18","Switzerland County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18155","Switzerland County, Indiana",,,184,203,199
"G1801570","2016-2020","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",,,1015,964,1311
"G1801590","2016-2020","IN",,,"Indiana","18","Tipton County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18159","Tipton County, Indiana",,,203,241,231
"G1801610","2016-2020","IN",,,"Indiana","18","Union County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18161","Union County, Indiana",,,110,136,126
"G1801630","2016-2020","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",,,730,1039,943
"G1801650","2016-2020","IN",,,"Indiana","18","Vermillion County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18165","Vermillion County, Indiana",,,222,224,228
"G1801670","2016-2020","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",,,606,768,786
"G1801690","2016-2020","IN",,,"Indiana","18","Wabash County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18169","Wabash County, Indiana",,,350,360,288
"G1801710","2016-2020","IN",,,"Indiana","18","Warren County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18171","Warren County, Indiana",,,126,137,114
"G1801730","2016-2020","IN",,,"Indiana","18","Warrick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18173","Warrick County, Indiana",,,419,423,373
"G1801750","2016-2020","IN",,,"Indiana","18","Washington County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18175","Washington County, Indiana",,,269,306,301
"G1801770","2016-2020","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,429,596,589
"G1801790","2016-2020","IN",,,"Indiana","18","Wells County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18179","Wells County, Indiana",,,219,283,300
"G1801810","2016-2020","IN",,,"Indiana","18","White County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18181","White County, Indiana",,,305,338,275
"G1801830","2016-2020","IN",,,"Indiana","18","Whitley County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18183","Whitley County, Indiana",,,313,389,354
"G1900010","2016-2020","IA",,,"Iowa","19","Adair County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19001","Adair County, Iowa",,,121,111,111
"G1900030","2016-2020","IA",,,"Iowa","19","Adams County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19003","Adams County, Iowa",,,93,76,71
"G1900050","2016-2020","IA",,,"Iowa","19","Allamakee County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19005","Allamakee County, Iowa",,,207,207,163
"G1900070","2016-2020","IA",,,"Iowa","19","Appanoose County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19007","Appanoose County, Iowa",,,214,208,180
"G1900090","2016-2020","IA",,,"Iowa","19","Audubon County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19009","Audubon County, Iowa",,,99,121,101
"G1900110","2016-2020","IA",,,"Iowa","19","Benton County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19011","Benton County, Iowa",,,218,275,242
"G1900130","2016-2020","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",,,508,638,638
"G1900150","2016-2020","IA",,,"Iowa","19","Boone County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19015","Boone County, Iowa",,,272,262,280
"G1900170","2016-2020","IA",,,"Iowa","19","Bremer County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19017","Bremer County, Iowa",,,195,233,172
"G1900190","2016-2020","IA",,,"Iowa","19","Buchanan County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19019","Buchanan County, Iowa",,,214,242,179
"G1900210","2016-2020","IA",,,"Iowa","19","Buena Vista County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19021","Buena Vista County, Iowa",,,147,220,242
"G1900230","2016-2020","IA",,,"Iowa","19","Butler County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19023","Butler County, Iowa",,,126,141,138
"G1900250","2016-2020","IA",,,"Iowa","19","Calhoun County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19025","Calhoun County, Iowa",,,189,156,115
"G1900270","2016-2020","IA",,,"Iowa","19","Carroll County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19027","Carroll County, Iowa",,,257,273,250
"G1900290","2016-2020","IA",,,"Iowa","19","Cass County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19029","Cass County, Iowa",,,165,187,189
"G1900310","2016-2020","IA",,,"Iowa","19","Cedar County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19031","Cedar County, Iowa",,,179,190,155
"G1900330","2016-2020","IA",,,"Iowa","19","Cerro Gordo County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19033","Cerro Gordo County, Iowa",,,428,445,409
"G1900350","2016-2020","IA",,,"Iowa","19","Cherokee County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19035","Cherokee County, Iowa",,,147,190,196
"G1900370","2016-2020","IA",,,"Iowa","19","Chickasaw County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19037","Chickasaw County, Iowa",,,141,161,139
"G1900390","2016-2020","IA",,,"Iowa","19","Clarke County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19039","Clarke County, Iowa",,,152,211,199
"G1900410","2016-2020","IA",,,"Iowa","19","Clay County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19041","Clay County, Iowa",,,261,262,263
"G1900430","2016-2020","IA",,,"Iowa","19","Clayton County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19043","Clayton County, Iowa",,,215,243,196
"G1900450","2016-2020","IA",,,"Iowa","19","Clinton County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19045","Clinton County, Iowa",,,368,401,378
"G1900470","2016-2020","IA",,,"Iowa","19","Crawford County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19047","Crawford County, Iowa",,,149,283,271
"G1900490","2016-2020","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,446,623,579
"G1900510","2016-2020","IA",,,"Iowa","19","Davis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19051","Davis County, Iowa",,,130,132,115
"G1900530","2016-2020","IA",,,"Iowa","19","Decatur County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19053","Decatur County, Iowa",,,120,105,132
"G1900550","2016-2020","IA",,,"Iowa","19","Delaware County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19055","Delaware County, Iowa",,,209,221,231
"G1900570","2016-2020","IA",,,"Iowa","19","Des Moines County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19057","Des Moines County, Iowa",,,296,358,433
"G1900590","2016-2020","IA",,,"Iowa","19","Dickinson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19059","Dickinson County, Iowa",,,266,290,248
"G1900610","2016-2020","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",,,410,495,481
"G1900630","2016-2020","IA",,,"Iowa","19","Emmet County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19063","Emmet County, Iowa",,,181,168,136
"G1900650","2016-2020","IA",,,"Iowa","19","Fayette County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19065","Fayette County, Iowa",,,175,193,184
"G1900670","2016-2020","IA",,,"Iowa","19","Floyd County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19067","Floyd County, Iowa",,,217,205,271
"G1900690","2016-2020","IA",,,"Iowa","19","Franklin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19069","Franklin County, Iowa",,,162,188,165
"G1900710","2016-2020","IA",,,"Iowa","19","Fremont County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19071","Fremont County, Iowa",,,95,106,105
"G1900730","2016-2020","IA",,,"Iowa","19","Greene County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19073","Greene County, Iowa",,,124,138,144
"G1900750","2016-2020","IA",,,"Iowa","19","Grundy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19075","Grundy County, Iowa",,,109,110,100
"G1900770","2016-2020","IA",,,"Iowa","19","Guthrie County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19077","Guthrie County, Iowa",,,164,152,112
"G1900790","2016-2020","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079","Hamilton County, Iowa",,,232,255,213
"G1900810","2016-2020","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081","Hancock County, Iowa",,,127,152,139
"G1900830","2016-2020","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083","Hardin County, Iowa",,,194,228,213
"G1900850","2016-2020","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085","Harrison County, Iowa",,,154,177,167
"G1900870","2016-2020","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087","Henry County, Iowa",,,200,219,250
"G1900890","2016-2020","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089","Howard County, Iowa",,,175,173,151
"G1900910","2016-2020","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091","Humboldt County, Iowa",,,133,140,128
"G1900930","2016-2020","IA",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19093","Ida County, Iowa",,,117,102,102
"G1900950","2016-2020","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095","Iowa County, Iowa",,,172,212,195
"G1900970","2016-2020","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097","Jackson County, Iowa",,,234,263,196
"G1900990","2016-2020","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099","Jasper County, Iowa",,,361,329,377
"G1901010","2016-2020","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101","Jefferson County, Iowa",,,254,276,261
"G1901030","2016-2020","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",,,766,803,949
"G1901050","2016-2020","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105","Jones County, Iowa",,,235,274,255
"G1901070","2016-2020","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107","Keokuk County, Iowa",,,100,139,115
"G1901090","2016-2020","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109","Kossuth County, Iowa",,,176,207,198
"G1901110","2016-2020","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111","Lee County, Iowa",,,305,386,350
"G1901130","2016-2020","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",,,661,920,890
"G1901150","2016-2020","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115","Louisa County, Iowa",,,160,153,154
"G1901170","2016-2020","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117","Lucas County, Iowa",,,113,143,131
"G1901190","2016-2020","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119","Lyon County, Iowa",,,108,124,104
"G1901210","2016-2020","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121","Madison County, Iowa",,,162,267,267
"G1901230","2016-2020","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123","Mahaska County, Iowa",,,192,294,286
"G1901250","2016-2020","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125","Marion County, Iowa",,,217,297,343
"G1901270","2016-2020","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127","Marshall County, Iowa",,,302,443,381
"G1901290","2016-2020","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129","Mills County, Iowa",,,154,207,204
"G1901310","2016-2020","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131","Mitchell County, Iowa",,,150,172,160
"G1901330","2016-2020","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133","Monona County, Iowa",,,171,162,160
"G1901350","2016-2020","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135","Monroe County, Iowa",,,166,142,168
"G1901370","2016-2020","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137","Montgomery County, Iowa",,,198,195,185
"G1901390","2016-2020","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139","Muscatine County, Iowa",,,327,365,389
"G1901410","2016-2020","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141","O'Brien County, Iowa",,,190,217,196
"G1901430","2016-2020","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143","Osceola County, Iowa",,,92,104,105
"G1901450","2016-2020","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145","Page County, Iowa",,,255,227,227
"G1901470","2016-2020","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147","Palo Alto County, Iowa",,,152,132,130
"G1901490","2016-2020","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149","Plymouth County, Iowa",,,192,251,266
"G1901510","2016-2020","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151","Pocahontas County, Iowa",,,131,127,98
"G1901530","2016-2020","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",,,1070,1679,1589
"G1901550","2016-2020","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",,,346,546,551
"G1901570","2016-2020","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157","Poweshiek County, Iowa",,,258,305,358
"G1901590","2016-2020","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159","Ringgold County, Iowa",,,110,99,71
"G1901610","2016-2020","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161","Sac County, Iowa",,,130,121,140
"G1901630","2016-2020","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",,,711,863,786
"G1901650","2016-2020","IA",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19165","Shelby County, Iowa",,,187,229,169
"G1901670","2016-2020","IA",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19167","Sioux County, Iowa",,,207,336,310
"G1901690","2016-2020","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",,,607,448,662
"G1901710","2016-2020","IA",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19171","Tama County, Iowa",,,173,170,155
"G1901730","2016-2020","IA",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19173","Taylor County, Iowa",,,73,84,81
"G1901750","2016-2020","IA",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19175","Union County, Iowa",,,196,187,208
"G1901770","2016-2020","IA",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19177","Van Buren County, Iowa",,,138,138,99
"G1901790","2016-2020","IA",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19179","Wapello County, Iowa",,,294,356,313
"G1901810","2016-2020","IA",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19181","Warren County, Iowa",,,305,381,323
"G1901830","2016-2020","IA",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19183","Washington County, Iowa",,,180,260,238
"G1901850","2016-2020","IA",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19185","Wayne County, Iowa",,,103,106,75
"G1901870","2016-2020","IA",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19187","Webster County, Iowa",,,296,396,417
"G1901890","2016-2020","IA",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19189","Winnebago County, Iowa",,,155,157,160
"G1901910","2016-2020","IA",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19191","Winneshiek County, Iowa",,,170,195,197
"G1901930","2016-2020","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",,,495,686,681
"G1901950","2016-2020","IA",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19195","Worth County, Iowa",,,106,107,98
"G1901970","2016-2020","IA",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19197","Wright County, Iowa",,,184,195,203
"G2000010","2016-2020","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20001","Allen County, Kansas",,,213,191,186
"G2000030","2016-2020","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20003","Anderson County, Kansas",,,152,176,168
"G2000050","2016-2020","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20005","Atchison County, Kansas",,,241,245,211
"G2000070","2016-2020","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20007","Barber County, Kansas",,,129,133,91
"G2000090","2016-2020","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20009","Barton County, Kansas",,,304,368,352
"G2000110","2016-2020","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20011","Bourbon County, Kansas",,,187,229,216
"G2000130","2016-2020","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20013","Brown County, Kansas",,,139,143,132
"G2000150","2016-2020","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",,,386,591,597
"G2000170","2016-2020","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20017","Chase County, Kansas",,,74,61,59
"G2000190","2016-2020","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20019","Chautauqua County, Kansas",,,96,81,73
"G2000210","2016-2020","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20021","Cherokee County, Kansas",,,233,317,315
"G2000230","2016-2020","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20023","Cheyenne County, Kansas",,,76,84,65
"G2000250","2016-2020","KS",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20025","Clark County, Kansas",,,61,68,46
"G2000270","2016-2020","KS",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20027","Clay County, Kansas",,,114,196,207
"G2000290","2016-2020","KS",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20029","Cloud County, Kansas",,,178,154,173
"G2000310","2016-2020","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20031","Coffey County, Kansas",,,126,128,121
"G2000330","2016-2020","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20033","Comanche County, Kansas",,,95,72,63
"G2000350","2016-2020","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20035","Cowley County, Kansas",,,308,363,350
"G2000370","2016-2020","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20037","Crawford County, Kansas",,,324,325,441
"G2000390","2016-2020","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20039","Decatur County, Kansas",,,78,75,86
"G2000410","2016-2020","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20041","Dickinson County, Kansas",,,246,243,261
"G2000430","2016-2020","KS",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20043","Doniphan County, Kansas",,,121,123,107
"G2000450","2016-2020","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",,,503,588,716
"G2000470","2016-2020","KS",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20047","Edwards County, Kansas",,,60,72,61
"G2000490","2016-2020","KS",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20049","Elk County, Kansas",,,81,87,50
