GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,NAME,BTTRA,BTBGA,ALZLM001,ALZLM002,ALZLM003
"G1900790","2015-2019","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079","Hamilton County, Iowa",,,189,210,231
"G1900810","2015-2019","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081","Hancock County, Iowa",,,121,148,131
"G1900830","2015-2019","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083","Hardin County, Iowa",,,177,185,187
"G1900850","2015-2019","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085","Harrison County, Iowa",,,157,141,139
"G1900870","2015-2019","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087","Henry County, Iowa",,,173,217,221
"G1900890","2015-2019","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089","Howard County, Iowa",,,141,152,147
"G1900910","2015-2019","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091","Humboldt County, Iowa",,,116,132,122
"G1900930","2015-2019","IA",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19093","Ida County, Iowa",,,102,111,98
"G1900950","2015-2019","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095","Iowa County, Iowa",,,163,163,170
"G1900970","2015-2019","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097","Jackson County, Iowa",,,217,238,197
"G1900990","2015-2019","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099","Jasper County, Iowa",,,323,282,302
"G1901010","2015-2019","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101","Jefferson County, Iowa",,,259,281,285
"G1901030","2015-2019","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",,,660,679,771
"G1901050","2015-2019","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105","Jones County, Iowa",,,215,227,201
"G1901070","2015-2019","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107","Keokuk County, Iowa",,,94,122,121
"G1901090","2015-2019","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109","Kossuth County, Iowa",,,142,148,151
"G1901110","2015-2019","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111","Lee County, Iowa",,,279,319,273
"G1901130","2015-2019","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",,,780,1068,930
"G1901150","2015-2019","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115","Louisa County, Iowa",,,159,152,156
"G1901170","2015-2019","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117","Lucas County, Iowa",,,125,132,121
"G1901190","2015-2019","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119","Lyon County, Iowa",,,133,149,118
"G1901210","2015-2019","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121","Madison County, Iowa",,,159,218,237
"G1901230","2015-2019","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123","Mahaska County, Iowa",,,227,276,248
"G1901250","2015-2019","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125","Marion County, Iowa",,,225,277,318
"G1901270","2015-2019","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127","Marshall County, Iowa",,,287,367,350
"G1901290","2015-2019","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129","Mills County, Iowa",,,180,201,166
"G1901310","2015-2019","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131","Mitchell County, Iowa",,,138,148,146
"G1901330","2015-2019","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133","Monona County, Iowa",,,154,129,159
"G1901350","2015-2019","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135","Monroe County, Iowa",,,157,141,137
"G1901370","2015-2019","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137","Montgomery County, Iowa",,,139,154,155
"G1901390","2015-2019","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139","Muscatine County, Iowa",,,264,355,304
"G1901410","2015-2019","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141","O'Brien County, Iowa",,,185,222,213
"G1901430","2015-2019","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143","Osceola County, Iowa",,,105,116,101
"G1901450","2015-2019","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145","Page County, Iowa",,,255,215,227
"G1901470","2015-2019","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147","Palo Alto County, Iowa",,,131,133,132
"G1901490","2015-2019","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149","Plymouth County, Iowa",,,170,220,229
"G1901510","2015-2019","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151","Pocahontas County, Iowa",,,122,118,98
"G1901530","2015-2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",,,1054,1291,1308
"G1901550","2015-2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",,,356,503,552
"G1901570","2015-2019","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157","Poweshiek County, Iowa",,,225,253,250
"G1901590","2015-2019","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159","Ringgold County, Iowa",,,96,106,89
"G1901610","2015-2019","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161","Sac County, Iowa",,,135,122,111
"G1901630","2015-2019","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",,,576,721,758
"G1901650","2015-2019","IA",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19165","Shelby County, Iowa",,,149,163,142
"G1901670","2015-2019","IA",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19167","Sioux County, Iowa",,,203,268,272
"G1901690","2015-2019","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",,,537,478,650
"G1901710","2015-2019","IA",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19171","Tama County, Iowa",,,176,176,162
"G1901730","2015-2019","IA",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19173","Taylor County, Iowa",,,78,80,74
"G1901750","2015-2019","IA",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19175","Union County, Iowa",,,174,156,168
"G1901770","2015-2019","IA",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19177","Van Buren County, Iowa",,,146,111,98
"G1901790","2015-2019","IA",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19179","Wapello County, Iowa",,,306,297,313
"G1901810","2015-2019","IA",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19181","Warren County, Iowa",,,183,326,325
"G1901830","2015-2019","IA",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19183","Washington County, Iowa",,,166,228,245
"G1901850","2015-2019","IA",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19185","Wayne County, Iowa",,,98,103,74
"G1901870","2015-2019","IA",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19187","Webster County, Iowa",,,332,356,366
"G1901890","2015-2019","IA",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19189","Winnebago County, Iowa",,,173,141,171
"G1901910","2015-2019","IA",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19191","Winneshiek County, Iowa",,,203,191,176
"G1901930","2015-2019","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",,,533,548,662
"G1901950","2015-2019","IA",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19195","Worth County, Iowa",,,88,90,87
"G1901970","2015-2019","IA",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19197","Wright County, Iowa",,,156,164,194
"G2000010","2015-2019","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20001","Allen County, Kansas",,,160,192,206
"G2000030","2015-2019","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20003","Anderson County, Kansas",,,157,182,172
"G2000050","2015-2019","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20005","Atchison County, Kansas",,,258,288,232
"G2000070","2015-2019","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20007","Barber County, Kansas",,,110,106,81
"G2000090","2015-2019","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20009","Barton County, Kansas",,,280,333,322
"G2000110","2015-2019","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20011","Bourbon County, Kansas",,,220,191,198
"G2000130","2015-2019","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20013","Brown County, Kansas",,,112,125,113
"G2000150","2015-2019","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",,,371,480,481
"G2000170","2015-2019","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20017","Chase County, Kansas",,,66,53,48
"G2000190","2015-2019","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20019","Chautauqua County, Kansas",,,97,86,70
"G2000210","2015-2019","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20021","Cherokee County, Kansas",,,299,290,259
"G2000230","2015-2019","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20023","Cheyenne County, Kansas",,,62,62,52
"G2000250","2015-2019","KS",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20025","Clark County, Kansas",,,48,50,38
"G2000270","2015-2019","KS",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20027","Clay County, Kansas",,,199,172,200
"G2000290","2015-2019","KS",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20029","Cloud County, Kansas",,,140,143,160
"G2000310","2015-2019","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20031","Coffey County, Kansas",,,108,122,106
"G2000330","2015-2019","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20033","Comanche County, Kansas",,,54,57,38
"G2000350","2015-2019","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20035","Cowley County, Kansas",,,348,292,340
"G2000370","2015-2019","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20037","Crawford County, Kansas",,,322,297,353
"G2000390","2015-2019","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20039","Decatur County, Kansas",,,79,77,80
"G2000410","2015-2019","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20041","Dickinson County, Kansas",,,213,281,254
"G2000430","2015-2019","KS",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20043","Doniphan County, Kansas",,,102,107,99
"G2000450","2015-2019","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",,,538,705,882
"G2000470","2015-2019","KS",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20047","Edwards County, Kansas",,,78,81,61
"G2000490","2015-2019","KS",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20049","Elk County, Kansas",,,75,57,45
"G2000510","2015-2019","KS",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20051","Ellis County, Kansas",,,322,316,390
"G2000530","2015-2019","KS",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20053","Ellsworth County, Kansas",,,149,120,126
"G2000550","2015-2019","KS",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20055","Finney County, Kansas",,,202,330,357
"G2000570","2015-2019","KS",,,"Kansas","20","Ford County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20057","Ford County, Kansas",,,209,387,416
"G2000590","2015-2019","KS",,,"Kansas","20","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20059","Franklin County, Kansas",,,278,285,269
"G2000610","2015-2019","KS",,,"Kansas","20","Geary County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20061","Geary County, Kansas",,,403,328,473
"G2000630","2015-2019","KS",,,"Kansas","20","Gove County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20063","Gove County, Kansas",,,106,106,51
"G2000650","2015-2019","KS",,,"Kansas","20","Graham County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20065","Graham County, Kansas",,,72,69,54
"G2000670","2015-2019","KS",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20067","Grant County, Kansas",,,150,189,203
"G2000690","2015-2019","KS",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20069","Gray County, Kansas",,,80,96,79
"G2000710","2015-2019","KS",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20071","Greeley County, Kansas",,,48,43,48
"G2000730","2015-2019","KS",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20073","Greenwood County, Kansas",,,117,120,106
"G2000750","2015-2019","KS",,,"Kansas","20","Hamilton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20075","Hamilton County, Kansas",,,88,79,68
"G2000770","2015-2019","KS",,,"Kansas","20","Harper County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20077","Harper County, Kansas",,,129,99,105
"G2000790","2015-2019","KS",,,"Kansas","20","Harvey County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20079","Harvey County, Kansas",,,261,347,293
"G2000810","2015-2019","KS",,,"Kansas","20","Haskell County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20081","Haskell County, Kansas",,,77,72,64
"G2000830","2015-2019","KS",,,"Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20083","Hodgeman County, Kansas",,,62,49,43
"G2000850","2015-2019","KS",,,"Kansas","20","Jackson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20085","Jackson County, Kansas",,,103,153,127
"G2000870","2015-2019","KS",,,"Kansas","20","Jefferson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20087","Jefferson County, Kansas",,,190,187,152
"G2000890","2015-2019","KS",,,"Kansas","20","Jewell County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20089","Jewell County, Kansas",,,63,59,54
"G2000910","2015-2019","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",,,1005,1287,1249
"G2000930","2015-2019","KS",,,"Kansas","20","Kearny County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20093","Kearny County, Kansas",,,89,77,77
"G2000950","2015-2019","KS",,,"Kansas","20","Kingman County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20095","Kingman County, Kansas",,,116,127,132
"G2000970","2015-2019","KS",,,"Kansas","20","Kiowa County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20097","Kiowa County, Kansas",,,63,51,43
"G2000990","2015-2019","KS",,,"Kansas","20","Labette County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20099","Labette County, Kansas",,,212,253,239
"G2001010","2015-2019","KS",,,"Kansas","20","Lane County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20101","Lane County, Kansas",,,86,83,52
"G2001030","2015-2019","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",,,385,463,435
"G2001050","2015-2019","KS",,,"Kansas","20","Lincoln County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20105","Lincoln County, Kansas",,,69,70,51
"G2001070","2015-2019","KS",,,"Kansas","20","Linn County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20107","Linn County, Kansas",,,180,163,155
"G2001090","2015-2019","KS",,,"Kansas","20","Logan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20109","Logan County, Kansas",,,75,68,60
"G2001110","2015-2019","KS",,,"Kansas","20","Lyon County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20111","Lyon County, Kansas",,,314,294,377
"G2001130","2015-2019","KS",,,"Kansas","20","McPherson County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20113","McPherson County, Kansas",,,231,301,288
"G2001150","2015-2019","KS",,,"Kansas","20","Marion County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20115","Marion County, Kansas",,,152,136,112
"G2001170","2015-2019","KS",,,"Kansas","20","Marshall County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20117","Marshall County, Kansas",,,143,151,127
"G2001190","2015-2019","KS",,,"Kansas","20","Meade County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20119","Meade County, Kansas",,,90,105,82
"G2001210","2015-2019","KS",,,"Kansas","20","Miami County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20121","Miami County, Kansas",,,272,386,347
"G2001230","2015-2019","KS",,,"Kansas","20","Mitchell County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20123","Mitchell County, Kansas",,,169,132,136
"G2001250","2015-2019","KS",,,"Kansas","20","Montgomery County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20125","Montgomery County, Kansas",,,371,328,328
"G2001270","2015-2019","KS",,,"Kansas","20","Morris County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20127","Morris County, Kansas",,,108,96,79
"G2001290","2015-2019","KS",,,"Kansas","20","Morton County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20129","Morton County, Kansas",,,93,81,85
"G2001310","2015-2019","KS",,,"Kansas","20","Nemaha County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20131","Nemaha County, Kansas",,,112,126,104
"G2001330","2015-2019","KS",,,"Kansas","20","Neosho County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20133","Neosho County, Kansas",,,199,243,192
"G2001350","2015-2019","KS",,,"Kansas","20","Ness County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20135","Ness County, Kansas",,,74,82,57
"G2001370","2015-2019","KS",,,"Kansas","20","Norton County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20137","Norton County, Kansas",,,198,167,103
"G2001390","2015-2019","KS",,,"Kansas","20","Osage County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20139","Osage County, Kansas",,,190,172,168
"G2001410","2015-2019","KS",,,"Kansas","20","Osborne County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20141","Osborne County, Kansas",,,87,69,76
"G2001430","2015-2019","KS",,,"Kansas","20","Ottawa County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20143","Ottawa County, Kansas",,,79,93,80
"G2001450","2015-2019","KS",,,"Kansas","20","Pawnee County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20145","Pawnee County, Kansas",,,195,167,184
"G2001470","2015-2019","KS",,,"Kansas","20","Phillips County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20147","Phillips County, Kansas",,,114,101,94
"G2001490","2015-2019","KS",,,"Kansas","20","Pottawatomie County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20149","Pottawatomie County, Kansas",,,232,297,279
"G2001510","2015-2019","KS",,,"Kansas","20","Pratt County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20151","Pratt County, Kansas",,,192,191,168
"G2001530","2015-2019","KS",,,"Kansas","20","Rawlins County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20153","Rawlins County, Kansas",,,120,93,63
"G2001550","2015-2019","KS",,,"Kansas","20","Reno County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20155","Reno County, Kansas",,,398,428,451
"G2001570","2015-2019","KS",,,"Kansas","20","Republic County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20157","Republic County, Kansas",,,101,115,88
"G2001590","2015-2019","KS",,,"Kansas","20","Rice County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20159","Rice County, Kansas",,,146,161,135
"G2001610","2015-2019","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",,,575,498,612
"G2001630","2015-2019","KS",,,"Kansas","20","Rooks County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20163","Rooks County, Kansas",,,92,86,75
"G2001650","2015-2019","KS",,,"Kansas","20","Rush County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20165","Rush County, Kansas",,,90,76,77
"G2001670","2015-2019","KS",,,"Kansas","20","Russell County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20167","Russell County, Kansas",,,179,193,175
"G2001690","2015-2019","KS",,,"Kansas","20","Saline County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20169","Saline County, Kansas",,,456,472,494
"G2001710","2015-2019","KS",,,"Kansas","20","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20171","Scott County, Kansas",,,141,156,143
"G2001730","2015-2019","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",,,1279,1418,1183
"G2001750","2015-2019","KS",,,"Kansas","20","Seward County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20175","Seward County, Kansas",,,207,252,291
"G2001770","2015-2019","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",,,778,794,824
"G2001790","2015-2019","KS",,,"Kansas","20","Sheridan County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20179","Sheridan County, Kansas",,,48,55,54
"G2001810","2015-2019","KS",,,"Kansas","20","Sherman County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20181","Sherman County, Kansas",,,196,206,206
"G2001830","2015-2019","KS",,,"Kansas","20","Smith County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20183","Smith County, Kansas",,,76,67,72
"G2001850","2015-2019","KS",,,"Kansas","20","Stafford County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20185","Stafford County, Kansas",,,73,82,65
"G2001870","2015-2019","KS",,,"Kansas","20","Stanton County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20187","Stanton County, Kansas",,,84,83,57
